epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.313,1.24636,1.26783,1.25139,0.96924,0.90272,0.94317,0.60808,1.26937,0.70421,1.27182,0.000666091,0.000666091,0.000666091
2,513.894,1.2151,0.66132,1.26547,0.97133,0.92059,0.95833,0.64919,1.22571,0.60925,1.22324,0.00120081,0.00120081,0.00120081
3,768.317,1.1854,0.61812,1.24417,0.97027,0.92232,0.96193,0.65207,1.17693,0.56174,1.19041,0.00160354,0.00160354,0.00160354
4,1021.65,1.159,0.57058,1.22335,0.97907,0.9288,0.96878,0.66744,1.15036,0.52302,1.17568,0.001406,0.001406,0.001406
5,1274.14,1.13735,0.53171,1.20707,0.98023,0.94291,0.96971,0.66982,1.15535,0.49504,1.17118,0.001208,0.001208,0.001208
6,1529.75,1.11588,0.49983,1.19114,0.98454,0.94293,0.97406,0.68489,1.11522,0.46468,1.1471,0.00101,0.00101,0.00101
7,1784.97,1.09448,0.47466,1.17398,0.98282,0.95109,0.97912,0.69386,1.10749,0.44662,1.14126,0.000812,0.000812,0.000812
8,2040.15,1.07568,0.45218,1.16151,0.98318,0.95286,0.98196,0.69691,1.09118,0.42938,1.12628,0.000614,0.000614,0.000614
9,2296.83,1.06072,0.43125,1.14997,0.98649,0.95217,0.98414,0.71003,1.07559,0.40772,1.11852,0.000416,0.000416,0.000416
10,2554.98,1.0435,0.40753,1.13904,0.98217,0.95806,0.98447,0.70666,1.06729,0.39408,1.11598,0.000218,0.000218,0.000218
