epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.74,1.25912,1.12613,1.21763,0.88424,0.8913,0.90595,0.59795,1.22018,1.07305,1.23426,0.000666091,0.000666091,0.000666091
2,586.957,1.20569,0.65365,1.18586,0.97242,0.91989,0.95673,0.66128,1.18413,0.57847,1.20491,0.000892948,0.000892948,0.000892948
3,879.991,1.14878,0.56944,1.15077,0.97621,0.9413,0.97466,0.67372,1.14761,0.47718,1.15438,0.000679804,0.000679804,0.000679804
