epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.433,1.24535,1.26043,1.24886,0.96522,0.87772,0.9334,0.59675,1.27935,0.71504,1.25744,0.000666091,0.000666091,0.000666091
2,425.535,1.21369,0.65269,1.25159,0.97425,0.92011,0.95911,0.63701,1.22608,0.61583,1.21899,0.00120081,0.00120081,0.00120081
3,630.599,1.18936,0.60741,1.23902,0.9643,0.92826,0.95956,0.6437,1.19133,0.56967,1.18729,0.00160354,0.00160354,0.00160354
4,834.447,1.16428,0.57065,1.21897,0.97482,0.92584,0.9646,0.67189,1.15704,0.52825,1.16774,0.001406,0.001406,0.001406
5,1039.2,1.14012,0.5326,1.20121,0.97674,0.94402,0.96871,0.6748,1.13359,0.50273,1.15654,0.001208,0.001208,0.001208
6,1242.92,1.1181,0.50009,1.18303,0.97724,0.95,0.97721,0.68016,1.11714,0.47078,1.14454,0.00101,0.00101,0.00101
7,1446.45,1.09699,0.47559,1.17107,0.98033,0.94565,0.97813,0.69752,1.10333,0.4537,1.13721,0.000812,0.000812,0.000812
8,1650.89,1.08234,0.4543,1.16131,0.9843,0.9538,0.98081,0.70012,1.09012,0.42795,1.12548,0.000614,0.000614,0.000614
9,1855.78,1.06869,0.43332,1.14914,0.98817,0.95,0.98212,0.70817,1.07988,0.42006,1.12003,0.000416,0.000416,0.000416
10,2061.19,1.05118,0.41026,1.13628,0.99301,0.95217,0.98414,0.70963,1.0712,0.39475,1.11751,0.000218,0.000218,0.000218
